Category,DataWindow,H2H,Market,Type,Odds,TrueProb,EV_pct,N_matches,HitFreq
league_it,full history,VER - LEC,CS 4-0,CS,143.0,0.007353,5.15,1360,1 in 136
league_it,full history,CAG - MIL,Under 1.5,OU,4.37,0.240618,5.15,1359,1 in 4
league_it,full history,LAZ - ATA,CS 4-0,CS,71.5,0.014706,5.15,1360,1 in 68
league_it,full history,UDI - PAR,CS 4-0,CS,143.0,0.007353,5.15,1360,1 in 136
league_it,full history,LAZ - SAS,HT/FT 2/2,HTFT,15.2,0.069169,5.14,1359,1 in 14
league_it,full history,ATA - NAP,CS 3-2,CS,37.6,0.027962,5.14,1359,1 in 35
league_it,full history,JUV - BOL,HT/FT 1/2,HTFT,43.3,0.024283,5.14,1359,1 in 41
league_it,full history,ATA - SAS,HT CS 1-0,HTCS,3.7,0.284032,5.09,1359,1 in 3
league_it,full history,COM - MIL,CS 1-5,CS,102.0,0.010302,5.08,1359,1 in 97
league_it,full history,GEN - INT,CS 2-1,CS,16.8,0.062546,5.08,1359,1 in 15
league_it,full history,LEC - COM,CS 2-2,CS,14.0,0.075055,5.08,1359,1 in 13
league_it,full history,CRE - FIO,Over 4.5,OU,7.89,0.133186,5.08,1359,1 in 7
league_it,full history,LEC - INT,Home Win,1X2,11.9,0.0883,5.08,1359,1 in 11
league_it,full history,CAG - UDI,CS 0-5,CS,357.0,0.002943,5.08,1359,1 in 339
league_it,full history,UDI - GEN,CS 4-1,CS,102.0,0.010302,5.08,1359,1 in 97
league_it,full history,BOL - ROM,HT/FT X/1,HTFT,10.2,0.103017,5.08,1359,1 in 9
league_it,full history,PAR - COM,Draw,1X2,3.27,0.321324,5.07,1360,1 in 3
league_it,full history,VER - BOL,HT/FT 1/X,HTFT,18.8,0.055882,5.06,1360,1 in 17
league_it,full history,CRE - UDI,Over 3.5,OU,3.8,0.276471,5.06,1360,1 in 3
league_it,full history,LEC - ROM,HT/FT X/2,HTFT,7.21,0.145695,5.05,1359,1 in 6
league_it,full history,BOL - GEN,HT/FT X/1,HTFT,7.44,0.141176,5.04,1360,1 in 7
league_it,full history,PAR - MIL,HT CS 0-2,HTCS,7.32,0.143488,5.03,1359,1 in 6
league_it,full history,COM - CAG,HT/FT X/2,HTFT,9.71,0.108168,5.03,1359,1 in 9
league_it,full history,NAP - CAG,CS 3-1,CS,11.7,0.089772,5.03,1359,1 in 11
league_it,full history,LAZ - ATA,Exact 6,ExactGoals,20.7,0.050735,5.02,1360,1 in 19
league_it,full history,ROM - JUV,CS 4-0,CS,89.2,0.011773,5.02,1359,1 in 84
league_it,full history,LEC - VER,HT CS 0-3,HTCS,238.0,0.004412,5.0,1360,1 in 226
league_it,full history,LEC - SAS,HT/FT 2/1,HTFT,34.0,0.030882,5.0,1360,1 in 32
league_it,full history,PIS - CRE,HT CS 0-1,HTCS,6.0,0.175,5.0,1360,1 in 5
league_it,full history,FIO - ROM,HT/FT 2/X,HTFT,14.0,0.075,5.0,1360,1 in 13
league_it,full history,CRE - UDI,HT CS 2-1,HTCS,23.8,0.044118,5.0,1360,1 in 22
league_it,full history,INT - GEN,CS 1-2,CS,21.0,0.05,5.0,1360,1 in 20
league_it,full history,TOR - VER,CS 1-3,CS,47.6,0.022059,5.0,1360,1 in 45
league_it,full history,INT - CAG,HT/FT 2/2,HTFT,16.8,0.0625,5.0,1360,1 in 16
league_it,full history,CAG - SAS,HT CS 0-3,HTCS,238.0,0.004412,5.0,1360,1 in 226
league_it,full history,SAS - GEN,HT/FT 1/2,HTFT,34.8,0.030169,4.99,1359,1 in 33
league_it,full history,ROM - CAG,CS 3-3,CS,64.9,0.016176,4.99,1360,1 in 61
league_it,full history,SAS - MIL,HT/FT 2/1,HTFT,34.8,0.030169,4.99,1359,1 in 33
league_it,full history,ROM - GEN,HT CS 0-1,HTCS,13.1,0.080147,4.99,1360,1 in 12
league_it,full history,VER - PAR,HT/FT 2/X,HTFT,16.4,0.064018,4.99,1359,1 in 15
league_it,full history,NAP - LAZ,HT/FT X/2,HTFT,12.3,0.085357,4.99,1359,1 in 11
league_it,full history,CAG - JUV,HT/FT X/2,HTFT,7.47,0.140545,4.99,1359,1 in 7
league_it,full history,CRE - TOR,HT/FT 2/1,HTFT,31.7,0.033113,4.97,1359,1 in 30
league_it,full history,TOR - PAR,CS 3-2,CS,31.7,0.033113,4.97,1359,1 in 30
league_it,full history,MIL - ATA,HT CS 0-3,HTCS,95.1,0.011038,4.97,1359,1 in 90
league_it,full history,TOR - CAG,HT/FT X/2,HTFT,9.51,0.110375,4.97,1359,1 in 9
league_it,full history,ROM - MIL,HT/FT 2/X,HTFT,17.2,0.061029,4.97,1360,1 in 16
league_it,full history,ROM - CAG,Away Win,1X2,6.43,0.163235,4.96,1360,1 in 6
league_it,full history,ATA - INT,HT CS 1-1,HTCS,6.1,0.172059,4.96,1360,1 in 5
league_it,full history,PIS - CRE,Exact 6,ExactGoals,23.4,0.044853,4.96,1360,1 in 22
league_it,full history,PIS - NAP,CS 1-4,CS,12.2,0.086029,4.96,1360,1 in 11
league_it,full history,CAG - PIS,Over 4.5,OU,8.15,0.128771,4.95,1359,1 in 7
league_it,full history,CRE - TOR,CS 2-3,CS,31.0,0.033848,4.93,1359,1 in 29
league_it,full history,LAZ - UDI,CS 3-3,CS,71.3,0.014717,4.93,1359,1 in 67
league_it,full history,CAG - JUV,HT CS 0-0,HTCS,4.63,0.226637,4.93,1359,1 in 4
league_it,full history,MIL - ATA,HT/FT 1/2,HTFT,29.1,0.036056,4.92,1359,1 in 27
league_it,full history,VER - PAR,Exact 6,ExactGoals,26.9,0.038999,4.91,1359,1 in 25
league_it,full history,ATA - BOL,HT CS 2-1,HTCS,12.3,0.085294,4.91,1360,1 in 11
league_it,full history,PIS - CAG,CS 1-4,CS,79.2,0.013245,4.9,1359,1 in 75
league_it,full history,PAR - GEN,Exact 6,ExactGoals,26.4,0.039735,4.9,1359,1 in 25
league_it,full history,LEC - CRE,CS 0-3,CS,52.8,0.019868,4.9,1359,1 in 50
league_it,full history,INT - TOR,HT/FT 1/X,HTFT,13.2,0.07947,4.9,1359,1 in 12
league_it,full history,PIS - LEC,HT CS 2-0,HTCS,14.4,0.072848,4.9,1359,1 in 13
league_it,full history,TOR - COM,CS 3-3,CS,64.8,0.016188,4.9,1359,1 in 61
league_it,full history,COM - FIO,HT/FT X/X,HTFT,5.89,0.178072,4.88,1359,1 in 5
league_it,full history,ROM - CRE,CS 2-3,CS,83.9,0.0125,4.88,1360,1 in 80
league_it,full history,UDI - CRE,HT/FT 2/1,HTFT,37.5,0.027962,4.86,1359,1 in 35
league_it,full history,CAG - ATA,Under 1.5,OU,3.8,0.275938,4.86,1359,1 in 3
league_it,full history,ATA - PAR,HT/FT 1/X,HTFT,12.4,0.084559,4.85,1360,1 in 11
league_it,full history,LEC - VER,Over 4.5,OU,12.4,0.084559,4.85,1360,1 in 11
league_it,full history,ATA - TOR,HT/FT 2/2,HTFT,12.4,0.084559,4.85,1360,1 in 11
league_it,full history,ROM - NAP,CS 0-4,CS,62.0,0.016912,4.85,1360,1 in 59
league_it,full history,UDI - INT,Over 4.5,OU,7.46,0.140545,4.85,1359,1 in 7
league_it,full history,FIO - ROM,CS 1-3,CS,17.6,0.059559,4.82,1360,1 in 16
league_it,full history,CAG - SAS,HT CS 2-1,HTCS,21.6,0.048529,4.82,1360,1 in 20
league_it,full history,TOR - LEC,Away Win,1X2,3.99,0.262693,4.81,1359,1 in 3
league_it,full history,UDI - LEC,HT/FT X/X,HTFT,5.72,0.183223,4.8,1359,1 in 5
league_it,full history,CRE - TOR,Over 4.5,OU,7.74,0.135394,4.79,1359,1 in 7
league_it,full history,UDI - BOL,HT CS 2-0,HTCS,14.1,0.074319,4.79,1359,1 in 13
league_it,full history,CAG - ROM,Over 4.5,OU,6.88,0.152318,4.79,1359,1 in 6
league_it,full history,CAG - ATA,CS 2-3,CS,30.3,0.034584,4.79,1359,1 in 28
league_it,full history,FIO - BOL,CS 3-0,CS,30.3,0.034584,4.79,1359,1 in 28
league_it,full history,PIS - TOR,CS 4-1,CS,95.0,0.011029,4.78,1360,1 in 90
league_it,full history,ROM - GEN,CS 3-1,CS,12.5,0.083824,4.78,1360,1 in 11
league_it,full history,CAG - TOR,HT/FT X/1,HTFT,7.83,0.133824,4.78,1360,1 in 7
league_it,full history,CRE - MIL,HT/FT 1/X,HTFT,75.0,0.013971,4.78,1360,1 in 71
league_it,full history,GEN - NAP,Exact 6,ExactGoals,17.8,0.058867,4.78,1359,1 in 16
league_it,full history,GEN - SAS,CS 0-3,CS,49.1,0.021339,4.78,1359,1 in 46
league_it,full history,LEC - FIO,CS 1-3,CS,17.8,0.058867,4.78,1359,1 in 16
league_it,full history,COM - MIL,HT/FT 1/2,HTFT,33.9,0.030905,4.77,1359,1 in 32
league_it,full history,BOL - MIL,Over 4.5,OU,6.19,0.169242,4.76,1359,1 in 5
league_it,full history,JUV - CRE,HT/FT X/2,HTFT,21.9,0.047829,4.75,1359,1 in 20
league_it,full history,SAS - ATA,HT CS 0-1,HTCS,4.07,0.257353,4.74,1360,1 in 3
league_it,full history,PAR - LAZ,CS 2-2,CS,13.3,0.078734,4.72,1359,1 in 12
league_it,full history,PAR - ROM,HT CS 3-0,HTCS,178.0,0.005882,4.71,1360,1 in 170
league_it,full history,SAS - CRE,CS 2-3,CS,44.5,0.023529,4.71,1360,1 in 42
league_it,full history,TOR - PAR,CS 1-3,CS,27.9,0.037528,4.7,1359,1 in 26
league_it,full history,PAR - CAG,CS 2-3,CS,45.9,0.022811,4.7,1359,1 in 43
league_it,full history,CAG - PAR,HT CS 1-2,HTCS,22.6,0.046324,4.69,1360,1 in 21
league_it,full history,TOR - NAP,HT/FT X/1,HTFT,12.6,0.083088,4.69,1360,1 in 12
league_it,full history,CAG - TOR,Over 2.5,OU,2.26,0.463235,4.69,1360,1 in 2
league_it,full history,TOR - BOL,CS 0-3,CS,33.9,0.030882,4.69,1360,1 in 32
league_it,full history,LEC - FIO,HT CS 0-3,HTCS,34.7,0.030169,4.69,1359,1 in 33
league_it,full history,CAG - COM,CS 3-0,CS,33.9,0.030882,4.69,1360,1 in 32
league_it,full history,LAZ - ATA,CS 3-3,CS,61.9,0.016912,4.68,1360,1 in 59
league_it,full history,CAG - FIO,CS 1-1,CS,6.53,0.160294,4.67,1360,1 in 6
league_it,full history,PAR - FIO,CS 0-3,CS,31.6,0.033113,4.64,1359,1 in 30
league_it,full history,COM - TOR,CS 3-2,CS,31.6,0.033113,4.64,1359,1 in 30
league_it,full history,PAR - PIS,HT/FT 1/X,HTFT,13.3,0.078676,4.64,1360,1 in 12
league_it,full history,GEN - SAS,CS 3-3,CS,94.8,0.011038,4.64,1359,1 in 90
league_it,full history,BOL - COM,HT/FT 2/1,HTFT,31.6,0.033113,4.64,1359,1 in 30
league_it,full history,CAG - SAS,HT/FT X/1,HTFT,6.94,0.150735,4.61,1360,1 in 6
league_it,full history,CRE - INT,Draw,1X2,8.94,0.116998,4.6,1359,1 in 8
league_it,full history,ROM - CAG,HT/FT 1/X,HTFT,12.7,0.082353,4.59,1360,1 in 12
league_it,full history,PIS - FIO,Over 3.5,OU,3.07,0.340692,4.59,1359,1 in 2
league_it,full history,UDI - PAR,CS 2-3,CS,88.9,0.011765,4.59,1360,1 in 85
league_it,full history,FIO - TOR,CS 4-0,CS,74.8,0.013981,4.58,1359,1 in 71
league_it,full history,LEC - INT,HT/FT 1/1,HTFT,32.3,0.032377,4.58,1359,1 in 30
