Category,H2H,Market,Type,Odds,TrueProb,EV_pct,HitFreq
league_en,MNC - WHU,CS 0-3,CS,73.8,0.01400147383935151,3.33,1 in 71
league_en,BOU - BUR,CS 4-1,CS,100.0,0.010332103321033211,3.32,1 in 96
league_en,SUN - BOU,CS 0-5,CS,1400.0,0.0007380073800738007,3.32,1 in 1355
league_en,SUN - TOT,HT CS 0-2,HTCS,22.9,0.045118343195266274,3.32,1 in 22
league_en,NEW - BRE,HT CS 0-1,HTCS,5.43,0.1902654867256637,3.31,1 in 5
league_en,WOL - MNU,CS 0-3,CS,53.8,0.019202363367799114,3.31,1 in 52
league_en,CRY - LEE,CS 0-5,CS,703.0,0.0014695077149155032,3.31,1 in 680
league_en,CRY - FUL,Exact 0,ExactGoals,10.4,0.09933283914010378,3.31,1 in 10
league_en,CRY - FUL,CS 0-0,CS,10.4,0.09933283914010378,3.31,1 in 10
league_en,EVE - NEW,CS 3-0,CS,46.8,0.02207505518763797,3.31,1 in 45
league_en,WOL - NEW,CS 1-5,CS,281.0,0.003676470588235294,3.31,1 in 272
league_en,WHU - MNU,HT CS 0-3,HTCS,77.3,0.013363028953229399,3.3,1 in 74
league_en,AST - TOT,CS 0-2,CS,60.9,0.01696165191740413,3.3,1 in 58
league_en,NOT - BHA,CS 0-5,CS,1407.0,0.0007342143906020558,3.3,1 in 1362
league_en,CHE - TOT,Away Win,1X2,13.1,0.07885040530582167,3.29,1 in 12
league_en,LIV - MNC,CS 0-1,CS,14.7,0.07026627218934911,3.29,1 in 14
league_en,FUL - BHA,HT/FT 2/2,HTFT,6.88,0.15011037527593818,3.28,1 in 6
league_en,NEW - WHU,HT CS 0-0,HTCS,4.39,0.23525073746312683,3.28,1 in 4
league_en,TOT - NEW,HT CS 2-0,HTCS,20.9,0.049410029498525077,3.27,1 in 20
league_en,BRE - CHE,HT/FT 1/X,HTFT,15.7,0.06577974870657798,3.27,1 in 15
league_en,WOL - ARS,BTTS Yes,BTTS,1.71,0.6038433111603844,3.26,1 in 1
league_en,BHA - NEW,HT/FT 2/X,HTFT,12.4,0.08327192336035372,3.26,1 in 12
league_en,BOU - BHA,CS 2-2,CS,15.0,0.0688378978534419,3.26,1 in 14
league_en,FUL - LEE,HT/FT 2/1,HTFT,40.3,0.02562225475841874,3.26,1 in 39
league_en,BRE - ARS,CS 0-1,CS,11.8,0.0875,3.25,1 in 11
league_en,CRY - BOU,CS 0-5,CS,1400.0,0.0007374631268436578,3.24,1 in 1356
league_en,EVE - TOT,CS 0-3,CS,70.0,0.014749262536873156,3.24,1 in 67
league_en,NOT - WOL,CS 3-1,CS,26.0,0.039705882352941174,3.24,1 in 25
league_en,LEE - BRE,CS 0-2,CS,12.5,0.08259587020648967,3.24,1 in 12
league_en,BHA - WHU,HT/FT 1/2,HTFT,50.0,0.02064896755162242,3.24,1 in 48
league_en,ARS - FUL,CS 5-0,CS,108.0,0.009558823529411765,3.24,1 in 104
league_en,LIV - CHE,Exact 0,ExactGoals,13.8,0.07481481481481482,3.24,1 in 13
league_en,LIV - CHE,CS 0-0,CS,13.8,0.07481481481481482,3.24,1 in 13
league_en,LEE - CRY,Over 4.5,OU,9.19,0.1123429416112343,3.24,1 in 8
league_en,ARS - LIV,CS 0-4,CS,100.0,0.01032448377581121,3.24,1 in 96
league_en,WOL - NEW,CS 0-4,CS,108.0,0.009558823529411765,3.24,1 in 104
league_en,EVE - NOT,Exact 0,ExactGoals,10.4,0.09925925925925926,3.23,1 in 10
league_en,EVE - NOT,CS 0-0,CS,10.4,0.09925925925925926,3.23,1 in 10
league_en,MNC - TOT,CS 5-0,CS,48.2,0.02141802067946824,3.23,1 in 46
league_en,AST - FUL,Over 4.5,OU,6.3,0.16385011021307863,3.23,1 in 6
league_en,CHE - WHU,CS 4-1,CS,20.6,0.050110537951363304,3.23,1 in 19
league_en,FUL - BRE,CS 1-0,CS,11.7,0.08821349147516679,3.21,1 in 11
league_en,CHE - BRE,CS 2-0,CS,9.83,0.10499265785609398,3.21,1 in 9
league_en,LEE - NOT,Over 4.5,OU,7.93,0.13014705882352942,3.21,1 in 7
league_en,BHA - WOL,CS 0-2,CS,13.7,0.07533234859675036,3.21,1 in 13
league_en,CRY - LIV,Exact 0,ExactGoals,13.2,0.0781831720029784,3.2,1 in 12
league_en,CRY - LIV,CS 0-0,CS,13.2,0.0781831720029784,3.2,1 in 12
league_en,BOU - BRE,Home Win,1X2,4.39,0.23507737656595432,3.2,1 in 4
league_en,AST - CHE,Exact 4,ExactGoals,5.42,0.1904059040590406,3.2,1 in 5
league_en,LEE - EVE,HT CS 3-0,HTCS,51.9,0.019882179675994108,3.19,1 in 50
league_en,ARS - WOL,HT/FT 2/1,HTFT,37.9,0.027225901398086828,3.19,1 in 36
league_en,CHE - SUN,CS 2-0,CS,7.36,0.14020771513353117,3.19,1 in 7
league_en,SUN - BRE,HT/FT 2/X,HTFT,12.4,0.08321060382916053,3.18,1 in 12
league_en,LEE - FUL,Under 1.5,OU,3.61,0.2858197932053176,3.18,1 in 3
league_en,ARS - CRY,HT/FT 1/2,HTFT,82.0,0.012583271650629163,3.18,1 in 79
league_en,MNU - AST,CS 0-4,CS,73.8,0.013980868285504048,3.18,1 in 71
league_en,MNU - NOT,HT CS 3-0,HTCS,35.9,0.028739867354458364,3.18,1 in 34
league_en,MNU - CRY,HT CS 0-2,HTCS,26.3,0.03923019985196151,3.18,1 in 25
league_en,BOU - CRY,Away Win,1X2,3.02,0.34166054371785454,3.18,1 in 2
league_en,MNU - BUR,CS 4-1,CS,56.0,0.018422991893883568,3.17,1 in 54
league_en,WOL - SUN,HT/FT X/1,HTFT,6.36,0.1622222222222222,3.17,1 in 6
league_en,LEE - WHU,Exact 0,ExactGoals,10.4,0.09919177075679647,3.16,1 in 10
league_en,LEE - WHU,CS 0-0,CS,10.4,0.09919177075679647,3.16,1 in 10
league_en,MNC - FUL,CS 1-2,CS,15.6,0.06612784717119764,3.16,1 in 15
league_en,WHU - LIV,Over 4.5,OU,7.06,0.14612546125461254,3.16,1 in 6
