league,match_name,outcome,mu_phat,fair_prob,raw_odds,mu_edge,bin17_edge,bin27_edge,min_edge,state_17_id,state_27_id,oos_roi,oos_t_stat,n_train,n_test
league_en,CRY - ARS,1x2_x_val,0.301773,0.2278,4.39,0.073973,0.065312,0.052952,0.052952,STATE_17_03,STATE_27_05,0.145443,2.196,1973.0,847.0
league_es,LEV - SEV,o_u_3_5_ov_val,0.198514,0.1456,6.87,0.052914,0.066204,0.065855,0.052914,STATE_17_04,STATE_27_02,0.190908,2.138,1978.0,848.0
league_es,VIL - RAY,1x2_1_val,0.601203,0.5208,1.92,0.080403,0.05288,0.058366,0.05288,STATE_17_06,STATE_27_05,0.123019,3.787,1978.0,848.0
league_it,COM - NAP,1x2_2_val,0.544232,0.4587,2.18,0.085532,0.052572,0.077155,0.052572,STATE_17_07,STATE_27_03,0.097712,2.611,1978.0,848.0
league_de,HOF - MGB,1x2_2_val,0.280582,0.2083,4.8,0.072282,0.051872,0.079917,0.051872,STATE_17_02,STATE_27_02,0.124051,2.657,4423.0,1896.0
league_en,BRE - ARS,1x2_x_val,0.279235,0.2278,4.39,0.051435,0.060294,0.064878,0.051435,STATE_17_09,STATE_27_07,0.150626,2.271,1975.0,847.0
league_es,RAY - GET,1x2_2_val,0.292183,0.2232,4.48,0.068983,0.084738,0.051241,0.051241,STATE_17_02,STATE_27_01,0.192556,2.834,1978.0,849.0
league_es,ATH - RMA,gg_ng_ng_val,0.665016,0.4425,2.26,0.222516,0.050959,0.083335,0.050959,STATE_17_08,STATE_27_16,0.283062,7.367,1978.0,849.0
league_es,ALV - BET,1x2_1_val,0.249469,0.1916,5.22,0.057869,0.055255,0.050751,0.050751,STATE_17_08,STATE_27_08,0.188042,2.502,1978.0,848.0
league_it,INT - CAG,1x2_2_val,0.134418,0.0709,14.1,0.063518,0.055877,0.050339,0.050339,STATE_17_14,STATE_27_15,0.727208,4.584,1978.0,849.0
